Date_Time,Water_Level
3/10/2022 19:39:55,0.3654
3/10/2022 19:40:00,0.3651
3/10/2022 19:40:05,
3/10/2022 19:40:10,0.364
3/10/2022 19:40:15,0.366
3/10/2022 19:40:20,0.3654
3/10/2022 19:40:25,0.3659
3/10/2022 19:40:30,0.3655
3/10/2022 19:40:35,0.366
3/10/2022 19:40:40,0.3664
3/10/2022 19:40:45,0.3668
3/10/2022 19:40:50,0.3662
3/10/2022 19:40:55,0.3659
3/10/2022 19:41:00,0.3665
3/10/2022 19:41:05,0.3651
3/10/2022 19:41:10,
3/10/2022 19:41:15,
3/10/2022 19:41:20,
3/10/2022 19:41:25,0.3668
3/10/2022 19:41:30,0.3665
3/10/2022 19:41:35,0.3661
3/10/2022 19:41:40,0.3668
3/10/2022 19:41:45,0.3676
3/10/2022 19:41:50,0.3679
3/10/2022 19:41:55,0.3671
3/10/2022 19:42:00,0.3699
3/10/2022 19:42:05,0.3663
3/10/2022 19:42:10,0.3664
3/10/2022 19:42:15,0.3683
3/10/2022 19:42:20,0.3684
3/10/2022 19:42:25,0.3682
3/10/2022 19:42:30,0.3688
3/10/2022 19:42:35,0.3678
3/10/2022 19:42:40,0.3688
3/10/2022 19:42:45,0.3688
3/10/2022 19:42:50,
3/10/2022 19:42:55,0.3702
3/10/2022 19:43:00,0.3696
3/10/2022 19:43:05,0.3683
3/10/2022 19:43:10,0.3695
3/10/2022 19:43:15,0.37
3/10/2022 19:43:20,0.3737
3/10/2022 19:43:25,0.37
3/10/2022 19:43:30,0.369
3/10/2022 19:43:35,0.3706
3/10/2022 19:43:40,0.3728
3/10/2022 19:43:45,0.3698
3/10/2022 19:43:50,0.3693
3/10/2022 19:43:55,0.3718
3/10/2022 19:44:00,0.3714
3/10/2022 19:44:05,0.3719
3/10/2022 19:44:10,0.3704
3/10/2022 19:44:15,0.3722
3/10/2022 19:44:20,0.3709
3/10/2022 19:44:25,0.3726
3/10/2022 19:44:30,0.3711
3/10/2022 19:44:35,0.3725
3/10/2022 19:44:40,0.3736
3/10/2022 19:44:45,0.371
3/10/2022 19:44:50,0.3735
3/10/2022 19:44:55,0.3741
3/10/2022 19:45:00,0.3729
3/10/2022 19:45:05,0.3737
3/10/2022 19:45:10,0.3732
3/10/2022 19:45:15,0.3761
3/10/2022 19:45:20,0.3759
3/10/2022 19:45:25,0.3751
3/10/2022 19:45:30,
3/10/2022 19:45:35,
3/10/2022 19:45:40,
3/10/2022 19:45:45,
3/10/2022 19:45:50,
3/10/2022 19:45:55,
3/10/2022 19:46:00,
3/10/2022 19:46:05,
3/10/2022 19:46:10,
3/10/2022 19:46:15,
3/10/2022 19:46:20,0.3758
3/10/2022 19:46:25,0.3794
3/10/2022 19:46:30,0.379
3/10/2022 19:46:35,0.3803
3/10/2022 19:46:40,0.379
3/10/2022 19:46:45,0.3812
3/10/2022 19:46:50,0.3779
3/10/2022 19:46:55,0.3804
3/10/2022 19:47:00,0.3812
3/10/2022 19:47:05,0.3796
3/10/2022 19:47:10,0.3818
3/10/2022 19:47:15,0.3792
3/10/2022 19:47:20,0.3827
3/10/2022 19:47:25,0.3803
3/10/2022 19:47:30,0.3811
3/10/2022 19:47:35,0.3811
3/10/2022 19:47:40,0.3811
3/10/2022 19:47:45,0.3806
3/10/2022 19:47:50,0.381
3/10/2022 19:47:55,0.3805
3/10/2022 19:48:00,0.3829
3/10/2022 19:48:05,0.3862
3/10/2022 19:48:10,0.3818
3/10/2022 19:48:15,0.384
3/10/2022 19:48:20,0.3814
3/10/2022 19:48:25,0.3812
3/10/2022 19:48:30,0.3857
3/10/2022 19:48:35,0.3836
3/10/2022 19:48:40,0.3859
3/10/2022 19:48:45,0.385
3/10/2022 19:48:50,0.3827
3/10/2022 19:48:55,0.3862
3/10/2022 19:49:00,
3/10/2022 19:49:05,
3/10/2022 19:49:10,
3/10/2022 19:49:15,
3/10/2022 19:49:20,
3/10/2022 19:49:25,
3/10/2022 19:49:30,
3/10/2022 19:49:35,
3/10/2022 19:49:40,0.387
3/10/2022 19:49:45,0.3876
3/10/2022 19:49:50,0.3858
3/10/2022 19:49:55,0.3871
3/10/2022 19:50:00,0.3868
3/10/2022 19:50:05,0.3873
3/10/2022 19:50:10,0.3864
3/10/2022 19:50:15,0.3878
3/10/2022 19:50:20,0.3873
3/10/2022 19:50:25,0.3873
3/10/2022 19:50:30,0.3883
3/10/2022 19:50:35,0.3884
3/10/2022 19:50:40,0.3885
3/10/2022 19:50:45,0.3895
3/10/2022 19:50:50,0.3885
3/10/2022 19:50:55,0.3892
3/10/2022 19:51:00,0.388
3/10/2022 19:51:05,0.3889
3/10/2022 19:51:10,0.3879
3/10/2022 19:51:15,0.3891
3/10/2022 19:51:20,0.388
3/10/2022 19:51:25,0.3893
3/10/2022 19:51:30,0.3893
3/10/2022 19:51:35,0.3886
3/10/2022 19:51:40,0.3893
3/10/2022 19:51:45,0.3905
3/10/2022 19:51:50,0.3903
3/10/2022 19:51:55,0.389
3/10/2022 19:52:00,0.389
3/10/2022 19:52:05,
3/10/2022 19:52:10,0.3907
3/10/2022 19:52:15,0.3905
3/10/2022 19:52:20,0.3907
3/10/2022 19:52:25,0.3903
3/10/2022 19:52:30,0.3904
3/10/2022 19:52:35,0.3896
3/10/2022 19:52:40,0.3906
3/10/2022 19:52:45,0.3914
3/10/2022 19:52:50,0.3898
3/10/2022 19:52:55,0.3903
3/10/2022 19:53:00,0.3911
3/10/2022 19:53:10,0.3897
3/10/2022 19:53:15,0.3908
3/10/2022 19:53:20,0.3909
3/10/2022 19:53:25,0.3911
3/10/2022 19:53:30,0.3909
3/10/2022 19:53:35,0.3915
3/10/2022 19:53:40,0.3922
3/10/2022 19:53:45,0.391
3/10/2022 19:53:50,0.3913
3/10/2022 19:53:55,0.3919
3/10/2022 19:54:00,0.3912
3/10/2022 19:54:05,
3/10/2022 19:54:10,0.3913
3/10/2022 19:54:15,0.3906
3/10/2022 19:54:20,0.391
3/10/2022 19:54:25,0.3925
3/10/2022 19:54:30,0.3932
3/10/2022 19:54:35,0.3934
3/10/2022 19:54:40,0.395
3/10/2022 19:54:45,0.3919
3/10/2022 19:54:50,0.3939
3/10/2022 19:54:55,0.3926
3/10/2022 19:55:00,0.3908
3/10/2022 19:55:05,0.3937
3/10/2022 19:55:10,0.3913
3/10/2022 19:55:15,0.3923
3/10/2022 19:55:20,0.3936
3/10/2022 19:55:25,0.3935
3/10/2022 19:55:30,0.3929
3/10/2022 19:55:35,0.3931
3/10/2022 19:55:40,0.3924
3/10/2022 19:55:45,0.3921
3/10/2022 19:55:50,0.3957
3/10/2022 19:55:55,0.3932
3/10/2022 19:56:00,0.3944
3/10/2022 19:56:05,
3/10/2022 19:56:10,
3/10/2022 19:56:15,
3/10/2022 19:56:20,
3/10/2022 19:56:25,
3/10/2022 19:56:30,0.3976
3/10/2022 19:56:35,0.396
3/10/2022 19:56:40,0.3977
3/10/2022 19:56:45,0.3952
3/10/2022 19:56:50,0.3976
3/10/2022 19:56:55,0.396
3/10/2022 19:57:00,0.398
3/10/2022 19:57:05,0.3987
3/10/2022 19:57:10,0.398
3/10/2022 19:57:15,0.3983
3/10/2022 19:57:20,0.3983
3/10/2022 19:57:30,0.3985
3/10/2022 19:57:35,0.3992
3/10/2022 19:57:40,0.3982
3/10/2022 20:13:45,0.433
3/10/2022 20:13:50,0.4352
3/10/2022 20:13:55,0.4349
3/10/2022 20:14:00,0.4344
3/10/2022 20:14:05,0.4353
3/10/2022 20:14:10,0.4354
3/10/2022 20:14:15,0.4352
3/10/2022 20:14:20,0.4337
3/10/2022 20:14:25,
3/10/2022 20:14:30,0.4344
3/10/2022 20:14:35,0.4355
3/10/2022 20:14:40,0.4362
3/10/2022 20:14:45,0.4369
3/10/2022 20:14:50,0.4361
3/10/2022 20:14:55,0.4376
3/10/2022 20:15:00,0.4371
3/10/2022 20:15:05,0.4375
3/10/2022 20:15:10,0.4359
3/10/2022 20:15:15,0.4358
3/10/2022 20:15:20,0.4364
3/10/2022 20:15:25,0.4365
3/10/2022 20:15:30,0.4378
3/10/2022 20:15:35,0.4378
3/10/2022 20:15:40,0.4375
3/10/2022 20:15:45,0.4365
3/10/2022 20:15:50,0.4374
3/10/2022 20:15:55,
3/10/2022 20:16:00,0.4371
3/10/2022 20:16:05,0.4373
3/10/2022 20:16:10,0.4383
3/10/2022 20:16:15,0.4381
3/10/2022 20:16:20,0.4384
3/10/2022 20:16:25,0.4382
